3.000,113.000,339.000,37.667,0.410,0.472,13.900,139.000,160.000,10.000,0
3.000,59.000,177.000,19.667,0.475,0.475,84.000,84.000,84.000,1.000,0
2.000,20.000,40.000,10.000,0.675,0.675,27.000,27.000,27.000,1.000,0
2.000,101.000,202.000,50.500,0.540,0.743,10.900,109.000,150.000,10.000,0
4.000,194.000,776.000,48.500,0.263,0.273,34.000,204.000,212.000,6.000,0
2.000,22.000,44.000,11.000,0.750,0.750,33.000,33.000,33.000,1.000,0
2.000,18.000,36.000,9.000,0.806,0.833,29.000,29.000,30.000,1.000,0
2.000,22.000,44.000,11.000,0.705,0.864,15.500,31.000,38.000,2.000,0
3.000,116.000,348.000,38.667,0.385,0.494,33.500,134.000,172.000,4.000,0
1.000,10.000,10.000,10.000,1.000,1.000,10.000,10.000,10.000,1.000,0
1.000,13.000,13.000,13.000,1.000,1.000,13.000,13.000,13.000,1.000,0
1.000,8.000,8.000,8.000,1.000,1.000,8.000,8.000,8.000,1.000,0
1.000,44.000,44.000,44.000,0.250,1.000,2.200,11.000,44.000,5.000,0
2.000,20.000,40.000,10.000,0.725,0.875,29.000,29.000,35.000,1.000,0
2.000,20.000,40.000,10.000,0.775,0.850,31.000,31.000,34.000,1.000,0
3.000,113.000,339.000,37.667,0.357,0.378,30.250,121.000,128.000,4.000,0
2.000,48.000,96.000,24.000,0.625,0.677,30.000,60.000,65.000,2.000,0
2.000,18.000,36.000,9.000,0.722,0.722,26.000,26.000,26.000,1.000,0
1.000,17.000,17.000,17.000,0.765,1.000,3.250,13.000,17.000,4.000,0
1.000,8.000,8.000,8.000,1.000,1.000,8.000,8.000,8.000,1.000,0
2.000,69.000,138.000,34.500,0.623,0.906,10.750,86.000,125.000,8.000,0
2.000,46.000,92.000,23.000,0.587,0.761,18.000,54.000,70.000,3.000,0
1.000,57.000,57.000,57.000,0.456,1.000,3.710,26.000,57.000,7.000,0
1.000,10.000,10.000,10.000,0.900,1.000,9.000,9.000,10.000,1.000,0
2.000,116.000,232.000,58.000,0.616,0.802,17.880,143.000,186.000,8.000,0
2.000,17.000,34.000,8.500,0.588,0.971,6.670,20.000,33.000,3.000,0
1.000,43.000,43.000,43.000,0.907,1.000,9.750,39.000,43.000,4.000,0
10.000,2.000,20.000,0.200,0.550,0.600,11.000,11.000,12.000,1.000,0
2.000,112.000,224.000,56.000,0.496,0.504,55.500,111.000,113.000,2.000,0
1.000,45.000,45.000,45.000,0.756,1.000,5.670,34.000,45.000,6.000,0
1.000,75.000,75.000,75.000,0.813,1.000,5.550,61.000,75.000,11.000,0
2.000,157.000,314.000,78.500,0.506,0.551,26.500,159.000,173.000,6.000,0
1.000,32.000,32.000,32.000,0.719,1.000,5.750,23.000,32.000,4.000,0
1.000,52.000,52.000,52.000,0.788,1.000,10.250,41.000,52.000,4.000,0
1.000,13.000,13.000,13.000,0.692,1.000,4.500,9.000,13.000,2.000,0
2.000,123.000,246.000,61.500,0.500,0.504,123.000,123.000,124.000,1.000,0
1.000,36.000,36.000,36.000,0.722,1.000,8.670,26.000,36.000,3.000,0
1.000,19.000,19.000,19.000,0.789,1.000,3.750,15.000,19.000,4.000,0
1.000,9.000,9.000,9.000,0.778,1.000,7.000,7.000,9.000,1.000,0
2.000,446.000,892.000,223.000,0.439,0.603,17.820,392.000,538.000,22.000,0
2.000,236.000,472.000,118.000,0.566,0.689,10.270,267.000,325.000,26.000,0
1.000,61.000,61.000,61.000,1.000,1.000,61.000,61.000,61.000,1.000,0
3.000,213.000,639.000,71.000,0.318,0.379,11.940,203.000,242.000,17.000,0
1.000,51.000,51.000,51.000,0.471,1.000,2.400,24.000,51.000,10.000,0
